LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,Year,Labor Force,Employed,Unemployed,Sentiment Analysis
CN0100100000000,01,001,"Autauga County, AL",2016,"25,649     ","24,297     ","1,352     ",0.999
CN0100300000000,01,003,"Baldwin County, AL",2016,"89,931     ","85,061     ","4,870     ",0.242
CN0100500000000,01,005,"Barbour County, AL",2016,"8,302     ","7,584     ",718     ,0.095
CN0100700000000,01,007,"Bibb County, AL",2016,"8,573     ","8,004     ",569     ,0.932
CN0100900000000,01,009,"Blount County, AL",2016,"24,525     ","23,171     ","1,354     ",0.756
CN0101100000000,01,011,"Bullock County, AL",2016,"4,811     ","4,466     ",345     ,0.196
CN0101300000000,01,013,"Butler County, AL",2016,"9,132     ","8,481     ",651     ,0.453
CN0101500000000,01,015,"Calhoun County, AL",2016,"45,794     ","42,727     ","3,067     ",0.77
CN0101700000000,01,017,"Chambers County, AL",2016,"15,134     ","14,295     ",839     ,0.254
CN0101900000000,01,019,"Cherokee County, AL",2016,"11,163     ","10,581     ",582     ,0.949
CN0102100000000,01,021,"Chilton County, AL",2016,"19,153     ","18,077     ","1,076     ",0.127
CN0102300000000,01,023,"Choctaw County, AL",2016,"4,300     ","3,918     ",382     ,0.014
CN0102500000000,01,025,"Clarke County, AL",2016,"8,011     ","7,118     ",893     ,0.831
CN0102700000000,01,027,"Clay County, AL",2016,"5,558     ","5,216     ",342     ,0.392
CN0102900000000,01,029,"Cleburne County, AL",2016,"5,831     ","5,476     ",355     ,0.176
CN0103100000000,01,031,"Coffee County, AL",2016,"20,402     ","19,167     ","1,235     ",0.102
CN0103300000000,01,033,"Colbert County, AL",2016,"23,707     ","22,045     ","1,662     ",0.881
CN0103500000000,01,035,"Conecuh County, AL",2016,"4,593     ","4,197     ",396     ,0.976
CN0103700000000,01,037,"Coosa County, AL",2016,"4,444     ","4,171     ",273     ,0.317
CN0103900000000,01,039,"Covington County, AL",2016,"15,392     ","14,315     ","1,077     ",0.302
CN0104100000000,01,041,"Crenshaw County, AL",2016,"6,451     ","6,063     ",388     ,0.115
CN0104300000000,01,043,"Cullman County, AL",2016,"37,715     ","35,792     ","1,923     ",0.877
CN0104500000000,01,045,"Dale County, AL",2016,"20,078     ","18,890     ","1,188     ",0.38
CN0104700000000,01,047,"Dallas County, AL",2016,"15,530     ","14,071     ","1,459     ",0.512
CN0104900000000,01,049,"DeKalb County, AL",2016,"29,016     ","27,216     ","1,800     ",0.351
CN0105100000000,01,051,"Elmore County, AL",2016,"36,726     ","34,917     ","1,809     ",0.987
CN0105300000000,01,053,"Escambia County, AL",2016,"14,633     ","13,648     ",985     ,0.89
CN0105500000000,01,055,"Etowah County, AL",2016,"43,887     ","41,269     ","2,618     ",0.763
CN0105700000000,01,057,"Fayette County, AL",2016,"6,543     ","6,087     ",456     ,0.959
CN0105900000000,01,059,"Franklin County, AL",2016,"13,723     ","12,886     ",837     ,0.526
CN0106100000000,01,061,"Geneva County, AL",2016,"10,905     ","10,263     ",642     ,0.624
CN0106300000000,01,063,"Greene County, AL",2016,"2,893     ","2,600     ",293     ,0.214
CN0106500000000,01,065,"Hale County, AL",2016,"6,050     ","5,579     ",471     ,0.267
CN0106700000000,01,067,"Henry County, AL",2016,"6,762     ","6,316     ",446     ,0.567
CN0106900000000,01,069,"Houston County, AL",2016,"44,718     ","42,089     ","2,629     ",0.531
CN0107100000000,01,071,"Jackson County, AL",2016,"23,636     ","22,117     ","1,519     ",0.972
CN0107300000000,01,073,"Jefferson County, AL",2016,"310,908     ","292,697     ","18,211     ",0.18
CN0107500000000,01,075,"Lamar County, AL",2016,"5,708     ","5,383     ",325     ,0.271
CN0107700000000,01,077,"Lauderdale County, AL",2016,"43,009     ","40,246     ","2,763     ",0.212
CN0107900000000,01,079,"Lawrence County, AL",2016,"13,729     ","12,763     ",966     ,0.58
CN0108100000000,01,081,"Lee County, AL",2016,"72,893     ","69,066     ","3,827     ",0.804
CN0108300000000,01,083,"Limestone County, AL",2016,"40,575     ","38,424     ","2,151     ",0.371
CN0108500000000,01,085,"Lowndes County, AL",2016,"3,803     ","3,394     ",409     ,0.636
CN0108700000000,01,087,"Macon County, AL",2016,"7,981     ","7,364     ",617     ,0.7
CN0108900000000,01,089,"Madison County, AL",2016,"173,295     ","164,279     ","9,016     ",0.323
CN0109100000000,01,091,"Marengo County, AL",2016,"7,640     ","7,072     ",568     ,0.398
CN0109300000000,01,093,"Marion County, AL",2016,"12,586     ","11,741     ",845     ,0.022
CN0109500000000,01,095,"Marshall County, AL",2016,"41,255     ","38,994     ","2,261     ",0.1
CN0109700000000,01,097,"Mobile County, AL",2016,"185,092     ","172,376     ","12,716     ",0.737
CN0109900000000,01,099,"Monroe County, AL",2016,"7,281     ","6,600     ",681     ,0.447
CN0110100000000,01,101,"Montgomery County, AL",2016,"104,822     ","98,688     ","6,134     ",0.717
CN0110300000000,01,103,"Morgan County, AL",2016,"55,331     ","52,235     ","3,096     ",0.496
CN0110500000000,01,105,"Perry County, AL",2016,"3,467     ","3,100     ",367     ,0.204
CN0110700000000,01,107,"Pickens County, AL",2016,"7,994     ","7,439     ",555     ,0.64
CN0110900000000,01,109,"Pike County, AL",2016,"15,157     ","14,188     ",969     ,0.313
CN0111100000000,01,111,"Randolph County, AL",2016,"9,491     ","8,952     ",539     ,0.355
CN0111300000000,01,113,"Russell County, AL",2016,"24,007     ","22,653     ","1,354     ",0.571
CN0111500000000,01,115,"St. Clair County, AL",2016,"38,588     ","36,533     ","2,055     ",0.709
CN0111700000000,01,117,"Shelby County, AL",2016,"108,320     ","103,555     ","4,765     ",0.169
CN0111900000000,01,119,"Sumter County, AL",2016,"5,143     ","4,741     ",402     ,0.604
CN0112100000000,01,121,"Talladega County, AL",2016,"34,781     ","32,429     ","2,352     ",0.879
CN0112300000000,01,123,"Tallapoosa County, AL",2016,"18,906     ","17,847     ","1,059     ",0.98
CN0112500000000,01,125,"Tuscaloosa County, AL",2016,"98,533     ","92,848     ","5,685     ",0.667
CN0112700000000,01,127,"Walker County, AL",2016,"25,658     ","23,706     ","1,952     ",0.485
CN0112900000000,01,129,"Washington County, AL",2016,"6,776     ","6,184     ",592     ,0.886
CN0113100000000,01,131,"Wilcox County, AL",2016,"2,809     ","2,396     ",413     ,0.191
CN0113300000000,01,133,"Winston County, AL",2016,"9,403     ","8,714     ",689     ,0.094
CN0201300000000,02,013,"Aleutians East Borough, AK",2016,"2,498     ","2,430     ",68     ,0.69
CN0201600000000,02,016,"Aleutians West Census Area, AK",2016,"3,907     ","3,780     ",127     ,0.816
CN0202000000000,02,020,"Anchorage Borough/municipality, AK",2016,"156,112     ","147,886     ","8,226     ",0.585
CN0205000000000,02,050,"Bethel Census Area, AK",2016,"7,018     ","6,029     ",989     ,0.905
CN0206000000000,02,060,"Bristol Bay Borough, AK",2016,403     ,375     ,28     ,0.468
CN0206800000000,02,068,"Denali Borough, AK",2016,"1,107     ","1,012     ",95     ,0.475
CN0207000000000,02,070,"Dillingham Census Area, AK",2016,"1,983     ","1,791     ",192     ,0.788
CN0209000000000,02,090,"Fairbanks North Star Borough, AK",2016,"46,098     ","43,491     ","2,607     ",0.648
CN0210000000000,02,100,"Haines Borough, AK",2016,"1,077     ",971     ,106     ,0.613
CN0210500000000,02,105,"Hoonah-Angoon Census Area, AK",2016,"1,202     ","1,064     ",138     ,0.734
CN0211000000000,02,110,"Juneau Borough/city, AK",2016,"17,162     ","16,412     ",750     ,0.71
CN0212200000000,02,122,"Kenai Peninsula Borough, AK",2016,"27,189     ","24,972     ","2,217     ",0.055
CN0213000000000,02,130,"Ketchikan Gateway Borough, AK",2016,"7,028     ","6,589     ",439     ,0.95
CN0215000000000,02,150,"Kodiak Island Borough, AK",2016,"6,417     ","6,098     ",319     ,0.851
CN0215800000000,02,158,"Kusilvak Census Area, AK",2016,"2,660     ","2,094     ",566     ,0.643
CN0216400000000,02,164,"Lake and Peninsula Borough, AK",2016,633     ,555     ,78     ,0.73
CN0217000000000,02,170,"Matanuska-Susitna Borough, AK",2016,"46,065     ","42,356     ","3,709     ",0.76
CN0218000000000,02,180,"Nome Census Area, AK",2016,"3,987     ","3,488     ",499     ,0.146
CN0218500000000,02,185,"North Slope Borough, AK",2016,"3,968     ","3,711     ",257     ,0.74
CN0218800000000,02,188,"Northwest Arctic Borough, AK",2016,"2,889     ","2,434     ",455     ,0.842
CN0219500000000,02,195,"Petersburg Borough, AK",2016,"1,450     ","1,325     ",125     ,0.477
CN0219800000000,02,198,"Prince of Wales-Hyder Census Area, AK",2016,"2,780     ","2,456     ",324     ,0.583
CN0222000000000,02,220,"Sitka Borough/city, AK",2016,"4,425     ","4,233     ",192     ,0.594
CN0223000000000,02,230,"Skagway Municipality, AK",2016,801     ,716     ,85     ,0.729
CN0224000000000,02,240,"Southeast Fairbanks Census Area, AK",2016,"3,019     ","2,711     ",308     ,0.792
CN0226100000000,02,261,"Valdez-Cordova Census Area, AK",2016,"4,851     ","4,453     ",398     ,0.26
CN0227500000000,02,275,"Wrangell Borough/city, AK",2016,"1,047     ",971     ,76     ,0.372
CN0228200000000,02,282,"Yakutat Borough/city, AK",2016,247     ,227     ,20     ,0.26
CN0229000000000,02,290,"Yukon-Koyukuk Census Area, AK",2016,"2,405     ","1,991     ",414     ,0.199
CN0400100000000,04,001,"Apache County, AZ",2016,"20,064     ","17,791     ","2,273     ",0.279
CN0400300000000,04,003,"Cochise County, AZ",2016,"50,187     ","47,116     ","3,071     ",0.393
CN0400500000000,04,005,"Coconino County, AZ",2016,"74,287     ","69,890     ","4,397     ",0.852
CN0400700000000,04,007,"Gila County, AZ",2016,"20,976     ","19,472     ","1,504     ",0.598
CN0400900000000,04,009,"Graham County, AZ",2016,"14,307     ","13,352     ",955     ,0.865
CN0401100000000,04,011,"Greenlee County, AZ",2016,"3,898     ","3,602     ",296     ,0.589
CN0401200000000,04,012,"La Paz County, AZ",2016,"8,493     ","7,985     ",508     ,0.53
CN0401300000000,04,013,"Maricopa County, AZ",2016,"2,076,894     ","1,983,156     ","93,738     ",0.12
